AUD/USD;
Date;Clôture
02/06/2017; $0,74 
05/06/2017; $0,75 
06/06/2017; $0,75 
07/06/2017; $0,75 
08/06/2017; $0,75 
09/06/2017; $0,75 
12/06/2017; $0,75 
13/06/2017; $0,75 
14/06/2017; $0,76 
15/06/2017; $0,76 
16/06/2017; $0,76 
19/06/2017; $0,76 
20/06/2017; $0,76 
21/06/2017; $0,76 
22/06/2017; $0,75 
23/06/2017; $0,76 
26/06/2017; $0,76 
27/06/2017; $0,76 
28/06/2017; $0,76 
29/06/2017; $0,77 
30/06/2017; $0,77 
03/07/2017; $0,77 
04/07/2017; $0,76 
05/07/2017; $0,76 
06/07/2017; $0,76 
07/07/2017; $0,76 
10/07/2017; $0,76 
11/07/2017; $0,76 
12/07/2017; $0,77 
13/07/2017; $0,77 
14/07/2017; $0,78 
17/07/2017; $0,78 
18/07/2017; $0,79 
19/07/2017; $0,79 
20/07/2017; $0,80 
21/07/2017; $0,79 
24/07/2017; $0,79 
25/07/2017; $0,79 
26/07/2017; $0,80 
27/07/2017; $0,80 
28/07/2017; $0,80 
31/07/2017; $0,80 
01/08/2017; $0,80 
02/08/2017; $0,80 
03/08/2017; $0,79 
04/08/2017; $0,79 
07/08/2017; $0,79 
08/08/2017; $0,79 
09/08/2017; $0,79 
10/08/2017; $0,79 
11/08/2017; $0,79 
14/08/2017; $0,78 
15/08/2017; $0,78 
16/08/2017; $0,79 
17/08/2017; $0,79 
18/08/2017; $0,79 
21/08/2017; $0,79 
22/08/2017; $0,79 
23/08/2017; $0,79 
24/08/2017; $0,79 
25/08/2017; $0,79 
28/08/2017; $0,80 
29/08/2017; $0,79 
30/08/2017; $0,79 
31/08/2017; $0,79 
01/09/2017; $0,80 
04/09/2017; $0,79 
05/09/2017; $0,80 
06/09/2017; $0,80 
07/09/2017; $0,80 
08/09/2017; $0,81 
11/09/2017; $0,80 
12/09/2017; $0,80 
13/09/2017; $0,80 
14/09/2017; $0,80 
15/09/2017; $0,80 
18/09/2017; $0,80 
19/09/2017; $0,80 
20/09/2017; $0,80 
21/09/2017; $0,79 
22/09/2017; $0,80 
25/09/2017; $0,79 
26/09/2017; $0,79 
27/09/2017; $0,78 
28/09/2017; $0,79 
29/09/2017; $0,78 
02/10/2017; $0,78 
03/10/2017; $0,78 
04/10/2017; $0,79 
05/10/2017; $0,78 
06/10/2017; $0,78 
09/10/2017; $0,78 
10/10/2017; $0,78 
11/10/2017; $0,78 
12/10/2017; $0,78 
13/10/2017; $0,79 
16/10/2017; $0,79 
17/10/2017; $0,78 
18/10/2017; $0,78 
19/10/2017; $0,79 
20/10/2017; $0,78 
23/10/2017; $0,78 
24/10/2017; $0,78 
25/10/2017; $0,77 
26/10/2017; $0,77 
27/10/2017; $0,77 
30/10/2017; $0,77 
31/10/2017; $0,77 
01/11/2017; $0,77 
02/11/2017; $0,77 
03/11/2017; $0,77 
06/11/2017; $0,77 
07/11/2017; $0,76 
08/11/2017; $0,77 
09/11/2017; $0,77 
10/11/2017; $0,77 
13/11/2017; $0,76 
14/11/2017; $0,76 
15/11/2017; $0,76 
16/11/2017; $0,76 
17/11/2017; $0,76 
20/11/2017; $0,75 
21/11/2017; $0,76 
22/11/2017; $0,76 
23/11/2017; $0,76 
24/11/2017; $0,76 
27/11/2017; $0,76 
28/11/2017; $0,76 
29/11/2017; $0,76 
30/11/2017; $0,76 
01/12/2017; $0,76 
04/12/2017; $0,76 
05/12/2017; $0,76 
06/12/2017; $0,76 
07/12/2017; $0,75 
08/12/2017; $0,75 
11/12/2017; $0,75 
12/12/2017; $0,76 
13/12/2017; $0,76 
14/12/2017; $0,77 
15/12/2017; $0,76 
18/12/2017; $0,77 
19/12/2017; $0,77 
20/12/2017; $0,77 
21/12/2017; $0,77 
22/12/2017; $0,77 
25/12/2017; $0,77 
26/12/2017; $0,77 
27/12/2017; $0,78 
28/12/2017; $0,78 
29/12/2017; $0,78 
01/01/2018; $0,78 
02/01/2018; $0,78 
03/01/2018; $0,78 
04/01/2018; $0,79 
05/01/2018; $0,79 
08/01/2018; $0,78 
09/01/2018; $0,78 
10/01/2018; $0,78 
11/01/2018; $0,79 
12/01/2018; $0,79 
15/01/2018; $0,80 
16/01/2018; $0,80 
17/01/2018; $0,80 
18/01/2018; $0,80 
19/01/2018; $0,80 
22/01/2018; $0,80 
23/01/2018; $0,80 
24/01/2018; $0,81 
25/01/2018; $0,80 
26/01/2018; $0,81 
29/01/2018; $0,81 
30/01/2018; $0,81 
31/01/2018; $0,81 
01/02/2018; $0,80 
02/02/2018; $0,79 
05/02/2018; $0,79 
06/02/2018; $0,79 
07/02/2018; $0,78 
08/02/2018; $0,78 
09/02/2018; $0,78 
12/02/2018; $0,79 
13/02/2018; $0,79 
14/02/2018; $0,79 
15/02/2018; $0,79 
16/02/2018; $0,79 
19/02/2018; $0,79 
20/02/2018; $0,79 
21/02/2018; $0,78 
22/02/2018; $0,78 
23/02/2018; $0,78 
26/02/2018; $0,79 
27/02/2018; $0,78 
28/02/2018; $0,78 
01/03/2018; $0,78 
02/03/2018; $0,78 
05/03/2018; $0,78 
06/03/2018; $0,78 
07/03/2018; $0,78 
08/03/2018; $0,78 
09/03/2018; $0,78 
12/03/2018; $0,79 
