EUR/GBP;
Date;Clôture
30/05/2017; £0,87 
31/05/2017; £0,87 
01/06/2017; £0,87 
02/06/2017; £0,88 
05/06/2017; £0,87 
06/06/2017; £0,87 
07/06/2017; £0,87 
08/06/2017; £0,87 
09/06/2017; £0,88 
12/06/2017; £0,88 
13/06/2017; £0,88 
14/06/2017; £0,88 
15/06/2017; £0,87 
16/06/2017; £0,88 
19/06/2017; £0,88 
20/06/2017; £0,88 
21/06/2017; £0,88 
22/06/2017; £0,88 
23/06/2017; £0,88 
26/06/2017; £0,88 
27/06/2017; £0,88 
28/06/2017; £0,88 
29/06/2017; £0,88 
30/06/2017; £0,88 
03/07/2017; £0,88 
04/07/2017; £0,88 
05/07/2017; £0,88 
06/07/2017; £0,88 
07/07/2017; £0,88 
10/07/2017; £0,88 
11/07/2017; £0,89 
12/07/2017; £0,89 
13/07/2017; £0,88 
14/07/2017; £0,88 
17/07/2017; £0,88 
18/07/2017; £0,89 
19/07/2017; £0,88 
20/07/2017; £0,90 
21/07/2017; £0,90 
24/07/2017; £0,89 
25/07/2017; £0,89 
26/07/2017; £0,89 
27/07/2017; £0,89 
28/07/2017; £0,89 
31/07/2017; £0,90 
01/08/2017; £0,89 
02/08/2017; £0,90 
03/08/2017; £0,90 
04/08/2017; £0,90 
07/08/2017; £0,90 
08/08/2017; £0,90 
09/08/2017; £0,90 
10/08/2017; £0,91 
11/08/2017; £0,91 
14/08/2017; £0,91 
15/08/2017; £0,91 
16/08/2017; £0,91 
17/08/2017; £0,91 
18/08/2017; £0,91 
21/08/2017; £0,92 
22/08/2017; £0,92 
23/08/2017; £0,92 
24/08/2017; £0,92 
25/08/2017; £0,93 
28/08/2017; £0,93 
29/08/2017; £0,93 
30/08/2017; £0,92 
31/08/2017; £0,92 
01/09/2017; £0,92 
04/09/2017; £0,92 
05/09/2017; £0,91 
06/09/2017; £0,91 
07/09/2017; £0,92 
08/09/2017; £0,91 
11/09/2017; £0,91 
12/09/2017; £0,90 
13/09/2017; £0,90 
14/09/2017; £0,89 
15/09/2017; £0,88 
18/09/2017; £0,89 
19/09/2017; £0,89 
20/09/2017; £0,88 
21/09/2017; £0,88 
22/09/2017; £0,89 
25/09/2017; £0,88 
26/09/2017; £0,88 
27/09/2017; £0,88 
28/09/2017; £0,88 
29/09/2017; £0,88 
02/10/2017; £0,88 
03/10/2017; £0,89 
04/10/2017; £0,89 
05/10/2017; £0,89 
06/10/2017; £0,90 
09/10/2017; £0,89 
10/10/2017; £0,89 
11/10/2017; £0,90 
12/10/2017; £0,89 
13/10/2017; £0,89 
16/10/2017; £0,89 
17/10/2017; £0,89 
18/10/2017; £0,89 
19/10/2017; £0,90 
20/10/2017; £0,89 
23/10/2017; £0,89 
24/10/2017; £0,90 
25/10/2017; £0,89 
26/10/2017; £0,89 
27/10/2017; £0,88 
30/10/2017; £0,88 
31/10/2017; £0,88 
01/11/2017; £0,88 
02/11/2017; £0,89 
03/11/2017; £0,89 
06/11/2017; £0,88 
07/11/2017; £0,88 
08/11/2017; £0,88 
09/11/2017; £0,89 
10/11/2017; £0,88 
13/11/2017; £0,89 
14/11/2017; £0,90 
15/11/2017; £0,89 
16/11/2017; £0,89 
17/11/2017; £0,89 
20/11/2017; £0,89 
21/11/2017; £0,89 
22/11/2017; £0,89 
23/11/2017; £0,89 
24/11/2017; £0,89 
27/11/2017; £0,89 
28/11/2017; £0,89 
29/11/2017; £0,88 
30/11/2017; £0,88 
01/12/2017; £0,88 
04/12/2017; £0,88 
05/12/2017; £0,88 
06/12/2017; £0,88 
07/12/2017; £0,87 
08/12/2017; £0,88 
11/12/2017; £0,88 
12/12/2017; £0,88 
13/12/2017; £0,88 
14/12/2017; £0,88 
15/12/2017; £0,88 
18/12/2017; £0,88 
19/12/2017; £0,88 
20/12/2017; £0,89 
21/12/2017; £0,89 
22/12/2017; £0,89 
25/12/2017; £0,89 
26/12/2017; £0,89 
27/12/2017; £0,89 
28/12/2017; £0,89 
29/12/2017; £0,89 
01/01/2018; £0,89 
02/01/2018; £0,89 
03/01/2018; £0,89 
04/01/2018; £0,89 
05/01/2018; £0,89 
08/01/2018; £0,88 
09/01/2018; £0,88 
10/01/2018; £0,88 
11/01/2018; £0,89 
12/01/2018; £0,89 
15/01/2018; £0,89 
16/01/2018; £0,89 
17/01/2018; £0,88 
18/01/2018; £0,88 
19/01/2018; £0,88 
22/01/2018; £0,88 
23/01/2018; £0,88 
24/01/2018; £0,87 
25/01/2018; £0,88 
26/01/2018; £0,88 
29/01/2018; £0,88 
30/01/2018; £0,88 
31/01/2018; £0,88 
