EUR/JPY;
Date;Clôture
29/06/2018; ¥129,28 
02/07/2018; ¥129,06 
03/07/2018; ¥128,88 
04/07/2018; ¥128,73 
05/07/2018; ¥129,29 
06/07/2018; ¥129,72 
09/07/2018; ¥130,23 
10/07/2018; ¥130,31 
11/07/2018; ¥130,73 
12/07/2018; ¥131,36 
13/07/2018; ¥131,29 
16/07/2018; ¥131,47 
17/07/2018; ¥131,60 
18/07/2018; ¥131,32 
19/07/2018; ¥130,90 
20/07/2018; ¥130,53 
23/07/2018; ¥130,14 
24/07/2018; ¥129,91 
25/07/2018; ¥130,15 
26/07/2018; ¥129,47 
27/07/2018; ¥129,43 
30/07/2018; ¥129,98 
31/07/2018; ¥130,78 
01/08/2018; ¥130,23 
02/08/2018; ¥129,31 
03/08/2018; ¥128,68 
06/08/2018; ¥128,70 
07/08/2018; ¥129,16 
08/08/2018; ¥128,84 
09/08/2018; ¥128,02 
10/08/2018; ¥126,56 
13/08/2018; ¥126,30 
14/08/2018; ¥126,05 
15/08/2018; ¥125,60 
16/08/2018; ¥126,13 
17/08/2018; ¥126,36 
20/08/2018; ¥126,35 
21/08/2018; ¥127,59 
22/08/2018; ¥128,18 
23/08/2018; ¥128,41 
24/08/2018; ¥129,25 
27/08/2018; ¥129,71 
28/08/2018; ¥130,00 
29/08/2018; ¥130,70 
30/08/2018; ¥129,50 
31/08/2018; ¥128,82 
03/09/2018; ¥129,10 
04/09/2018; ¥129,06 
05/09/2018; ¥129,69 
06/09/2018; ¥128,69 
07/09/2018; ¥128,27 
10/09/2018; ¥128,80 
11/09/2018; ¥129,54 
12/09/2018; ¥129,32 
13/09/2018; ¥130,81 
14/09/2018; ¥130,28 
17/09/2018; ¥130,65 
18/09/2018; ¥131,06 
19/09/2018; ¥131,04 
20/09/2018; ¥132,45 
21/09/2018; ¥132,25 
24/09/2018; ¥132,48 
25/09/2018; ¥132,98 
26/09/2018; ¥132,31 
27/09/2018; ¥131,95 
28/09/2018; ¥131,96 
01/10/2018; ¥131,86 
02/10/2018; ¥131,23 
03/10/2018; ¥131,43 
04/10/2018; ¥131,16 
05/10/2018; ¥131,02 
08/10/2018; ¥130,10 
09/10/2018; ¥129,76 
10/10/2018; ¥129,31 
11/10/2018; ¥130,03 
12/10/2018; ¥129,71 
15/10/2018; ¥129,38 
16/10/2018; ¥129,91 
17/10/2018; ¥129,52 
18/10/2018; ¥128,47 
19/10/2018; ¥129,57 
22/10/2018; ¥129,30 
23/10/2018; ¥128,97 
24/10/2018; ¥127,85 
25/10/2018; ¥127,84 
26/10/2018; ¥127,59 
29/10/2018; ¥127,78 
30/10/2018; ¥128,28 
31/10/2018; ¥127,72 
01/11/2018; ¥128,55 
02/11/2018; ¥128,86 
05/11/2018; ¥129,09 
06/11/2018; ¥129,58 
07/11/2018; ¥129,67 
08/11/2018; ¥129,61 
09/11/2018; ¥129,00 
12/11/2018; ¥127,67 
13/11/2018; ¥128,48 
14/11/2018; ¥128,47 
15/11/2018; ¥128,69 
16/11/2018; ¥128,82 
19/11/2018; ¥128,87 
20/11/2018; ¥128,20 
21/11/2018; ¥128,67 
22/11/2018; ¥128,82 
23/11/2018; ¥128,07 
26/11/2018; ¥128,65 
27/11/2018; ¥128,42 
28/11/2018; ¥129,21 
29/11/2018; ¥129,27 
30/11/2018; ¥128,38 
03/12/2018; ¥129,02 
04/12/2018; ¥127,93 
05/12/2018; ¥128,40 
06/12/2018; ¥128,14 
07/12/2018; ¥128,23 
10/12/2018; ¥128,69 
11/12/2018; ¥128,29 
12/12/2018; ¥128,77 
13/12/2018; ¥129,08 
14/12/2018; ¥128,20 
17/12/2018; ¥128,01 
18/12/2018; ¥127,82 
19/12/2018; ¥127,93 
20/12/2018; ¥127,35 
21/12/2018; ¥126,47 
24/12/2018; ¥125,88 
25/12/2018; ¥125,28 
26/12/2018; ¥126,39 
27/12/2018; ¥126,85 
28/12/2018; ¥126,16 
31/12/2018; ¥125,65 
01/01/2019; ¥125,75 
02/01/2019; ¥123,48 
03/01/2019; ¥122,63 
04/01/2019; ¥123,64 
07/01/2019; ¥124,72 
08/01/2019; ¥124,39 
09/01/2019; ¥124,82 
10/01/2019; ¥124,66 
11/01/2019; ¥124,46 
14/01/2019; ¥124,10 
15/01/2019; ¥123,99 
